,title,rating,content,sentence_length
10,Get the Pro 1500 instead.,3,"Update #2: I know the Pro 1500 isn't on Oral-B's website. When I bought the Pro 1500 nearly a year ago, I asked Oral-B why it's not on their site because I was concerned I had just bought a discontinued product. They assured me that it was in fact a brand new item that they had just released and that they were going to add the Pro 1500 to their site ""soon"".

I realize that it's nearly a year later and they still haven't done it even though they are still manufacturing it, but I have been to their site several times per month since then and I can tell you that I'm honestly not surprised it's not on their site yet. I get the impression that anyone could do a better job with their site up-keep than whoever is doing it now. I have even noticed that it's kinda somewhat falling apart. Some elements no longer work and haven't worked for months. Their products are fine, they just need better people to handle and operate their website.

Update #1: When I wrote this review, the price was the same for the Pro 1000 and Pro 1500 (including both the black and white Pro 1000s). Today, the price for the Pro 1500 nearly $20 more than it was when I wrote this review, and currently close to $30 more than the Pro 1000.

[Original review below]
I bought this to replace a very new Vitality. It was a *HUGE* upgrade over the Vitality, but then I saw the Pro 1500 and learned from Oral-B that it's quite superior. The Pro 1000's specs are:

- 1 cleaning mode: Daily Clean
- 8,800 oscillations per minute and 20,000 pulsations per minute on the Daily Clean mode
- A pressure sensor that's supposed to just stop the pulsations when it's triggered
- A pro timer that hesitates the motor once every 30 seconds, and 3 times every 2 minutes
- A NiMH battery (old technology)
- A battery life of 28 minutes (7 days, 2 minutes per day 2 times per day)
- A full recharge time of 22 hours
- A green charge indicator LED that blinks while charging, but stays off when it's not charging
- A red battery level indicator that blinks a few times upon on/off if the battery needs to be charged
- The CrossAction brush head

The Pro 1500's specs are:

- 2 cleaning modes: Daily Clean and Sensitive
- 9,900 oscillations per minute and 45,000 pulsations per minute on the Daily Clean mode (these speeds are faster than any I've seen so far in the specs of any of Oral-B's electric toothbrushes, including the Genius 8000 - they all seem to top out at 8,800 oscillations per minute and 40,000 pulsations per minute)
- 7,400 oscillations per minute and 33,000 pulsations per minute on the Sensitive mode
- A pressure sensor using a red LED that turns on when the pressure sensor is triggered
- A pro timer that hesitates the motor once every 30 seconds, and 3 times every 2 minutes
- A Lithium Ion battery
- A battery life of 56 minutes (14 days, 2 minutes per day 2 times per day)
- A full recharge time of 12 hours
- A green charge indicator LED that blinks while charging, but stays off when it's not charging
- A red battery level indicator that blinks a few times upon on/off if the battery needs to be charged.
- The CrossAction brush head

The Vitality is extremely basic:

- 1 cleaning mode: Daily Clean
- 7,600 oscillations per minute.
- A timer that hesitates the motor 3 times every 2 minutes
- A NiMH battery
- A battery life of 20 minutes (5 days, 2 minutes per day 2 times per day)
- A full recharge time of 19 hours
- No charge indicators or battery life indicators
- Mine came with the Sensitive Gum Care brush head

In comparison, the Vitality seems like a cheap generic electric toothbrush. Don't consider buying it.

When I upgraded to the Pro 1000, it was amazing. I wanted to burst at the seams and write an extremely rave review, but then I learned about *and ordered* the Oral-B Pro 1500. After using it, I can tell you that the Pro 1500 is *FAR* better than the Pro 1000. I honestly feel the Pro 1000 should be discontinued and no one should ever buy it. I mean really, the Pro 1500 is only $10 more right now and it destroys the Pro 1000.

I would have given the Pro 1000 4 stars instead of just 3 if it had a Lithium Ion battery. They charge faster and last longer without charging.

So yeah, I am not sure I would recommend the Pro 1000 if you can get the Pro 1500. The Pro 1500 is a much wiser purchase. I'm *extremely* happy with mine. It blows the Pro 1000 out of the water.",833
11,ITS SO LOUD,1," I bought this because I left my sonic care at my overseas after a trip. I thought it was supposed to be awesome and ready for a change. It’s like brushing your teeth with a weed whacker. It’s sooooo loud! And not smooth at all. It’s pulse is slow and my teeth hurt after ever brush. I had a headache after the first use and didn’t realize why. There is also and open hole in the brush head that gets toothpaste in it. I was stupid and threw away the box, or I’d return it in a heartbeat.",98
12,Has major battery issues,1,"So far so good. Works as expected
Update:
Bought this because I was tired of changing batteries...a few months of use and now, even after charging all day and through the night, the red light comes on after a few seconda of use.",43
13,Mold inside brush head,2,"The overall function of the toothbrush is good, and I like the sensitive teeth bristles (reason for 2 stars), but the brush heads do not tightly fit on my toothbrush which results in mold in the brush heads. I’ve tried changing the brush heads but it doesn’t help. My picture shows how much mold is inside after skipped a single day of cleaning the inside (which shouldn’t be required). Very frustrating. I will say, I got my husband one as well and this isn’t an issue. I got unlucky with a design flaw it seems.",95
14,... have always used a manual toothbrush but my dentist recommended this so I gave it a try,5,I have always used a manual toothbrush but my dentist recommended this so I gave it a try. I have been using it for a few months now and my teeth are whiter and cleaner.,35
15,Warning Voltage Rating may Not be Suitable!,2,"It’s great product, I would recommend it.

However please be mindful of the voltage ratings.
My country normal home voltage are 230V AC, since this is from the US the dock charger was rated at 110-130V AC.
I can charge it but it gets hot overtime.

Would suggest the supplier / Amazon to put a Warning on this for shopper from overseas.

If I knew I probably would just get one near my local store instead.",76
16,Very loud & poor battery life,3,"I've had a Sonic Care for many years and it finally died. My dentist recommended an Oral-B instead, so I thought sure, I'll get one. The price is much cheaper for the brush and the heads for the Oral-B than for the super expensive Sonic Care. But all I can say is - I got what a paid for. This toothbrush is so LOUD. I was not prepared for that. It sounds like the motor is laboring to move all of the brushes. The battery life is awful on this one. I've got to plug it in every few days for about 30 hours to get a full charge. I never had to do this with my last one.

I do like that the brush heads are inexpensive, they go on easily, and can interchange with other brushes in the series (might try a more expensive one in the line). I have slightly crooked teeth on the bottom and this toothbrush is doing a much better job cleaning those teeth than my old Sonic Care did.",176
17,DO NOT BUY THIS!!!!!!,1,this product is HORRIBLE. We used it for one charge and then have NOT been able to get it to recharge! Unfortunately I am unable to return this product as I no longer have original packaging. If possible I wouldn't even give this product one star! DO NOT BUY THIS ITEM!!!,51
18,I'm so glad I did,5,"I've been using a Sonicare for several years. It recently died and I needed a new toothbrush, so I went with this one. I'm so glad I did! I had a dental cleaning appointment yesterday and my hygienist asked what I was doing differently for my home care because my teeth looked cleaner than usual. My dentist commented on how good my teeth health looked, too. I love this toothbrush and highly recommend it.",74
19,"Dont buy, wont last",1,"Dont buy, i got this toothbrush for Christmas last year and I absolutely loved it. It worked great and my teeth felt so much cleaner. However, it quit working in May, only 5 months after I got it. At first, I thought the battery was dead so I charged it, but after several days, it never reached a full charge. It wouldn't work at all when I tried to turn it on, but after I left it on the charger, it would come on for about 10 seconds, but it had a really low power level and then it would stop working again. I had a protection plan on it, so I contacted them about getting a new one, but no one ever responded to my claim. I loved the toothbrush but I'm really disappointed in how quickly it stopped working and the lack of responsiveness when I filed a claim. Never did get a replacement a year later. Would not buy again from them",165
20,I like the 4 part timer as well,4,"I had an oral-B that lasted for a very long time but using this one made me realize how weak the old battery had gotten. I like the 4 part timer as well. It does 2 or 3 short pulse pauses, basically, you divide your mouth into upper left, lower left, upper right and lower right side and brush each part till the dzhut dzhut pulse, then go to the next part. When you have done all 4 areas it has 3 or 4 longer pause pulses to let you know you're done. Having it split this way encourages me to brush the full time rather than cutting it a little short if its only a single length timer.

I have noticed that if I leave the brush head on it and just stick it back on the charging base there is always a little toothpaste still in the housing for the brush that will run down the handle and leave that white toothpaste film but if I remove the brush head and keep it somewhere else I don't have that problem.",182
21,This toothbrush packs a punch and my teeth feel super clean!,5,"This toothbrush by Oral-B is so much better than my previous Sonic toothbrush, I am more than pleased with how well it works. After my previous toothbrush stopped working, I searched on Amazon for a new one. Luckily, I came across this toothbrush and I really liked that it was not complicated to use, just an on and off button. I did look at the other Oral-B toothbrushes and it amazed me how sophisticated they were and that they even came with a phone App to help you with brushing your teeth. I really did not need all the bells and whistles and that is what is offered with this model. Not to mention the black and white color which is my favorite.

The Oral-B Pro 1000 comes with a charging station and brush. This toothbrush packs a punch and my teeth feel super clean. The head of the brush is small and round and the bristles really make a difference when it comes to cleaning my teeth. The body of the toothbrush has a good grip with grooves that are built in around the handle. I like this so not only do I hold it better, I am not dropping it easily when brushing my teeth. There is a charging station where the toothbrush is stored and it does plug into a socket. The charger works well and I have not had a problem with losing any power when I brush my teeth. It looks great on my bathroom sink which is where it is kept when not in use.

I will say that I prefer this electric toothbrush over a sonic and am glad that I made the switch. This brush cleans my teeth, gums and tongue much better than the other one ever did. Very happy with this purchase and would recommend this toothbrush to others for sure.",311
22,Loud!!! Sounds like a jackhammer,1,I just received this electric toothbrush yesterday and it sounds like a jackhammer! Anyone else astounded at the noice it makes? It woke up the whole family with its loud motor! I’ve had electric toothbrushes for decades and never one that made this kind of noise.,46
23,Basic brush done right,5,"Wanted something basic that would get the job done. No fancy bells or whistles unless you count it's 30second timers which was just what I wanted.

Got to replace my old Braun toothbrush. This one has a lot more vigor to it. My old one was great but the new ones feels just like that, a new version of a good older product.",63
24,Awesome but...,4,Cleans great but those replacement heads are SO expensive!!!,9
25,SUPER LOUD! Poor battery life!,1,"I've been using Phillips Sonicare toothbrushes for nearly 15 years. I got tired of spending so much for replacement heads. One day, I was in Rite-Aid and saw their store brand electric toothbrush for only $9. Electric toothbrush technology has improved so much over the years, so I figured I'd give it a try. I was pretty underwhelmed. It was so loud. My teeth didn't feel nearly as clean as they do after using a Sonicare.

I came across a lighting deal for the Oral-B Pro while browsing Amazon. I had high hopes for this toothbrush since Oral-B is a direct competitor to Sonicare. Needless to say, I was very disappointed. THIS TOOTHBRUSH IS SO LOUD! My bathroom is right next to my daughters room. I literally can not use this toothbrush at night because it wakes her up! My teeth don’t feel as clean as they did with the Sonicare either. The battery life is terrible as well. The Sonicare would go months between charges whereas this one lasts a week if that. The $9 Rite-Aid brand toothbrush works just as well as the Oral-B Pro and is significantly cheaper.

There are only two things I like about the Oral-B vs the Sonicare. The Oral-B is very compact and travel friendly. It’s closer to the size of a regular toothbrush whereas the Sonicare is massive and a pain to pack. Aesthetically, the Oral-B is a much nicer looking toothbrush.

After coming from the Phillips Sonicare, I cannot recommend this toothbrush. The Sonicare does take some getting use too. The sonic vibrations create a weird sensation in your mouth.

I retired my Oral-B to a drawer and ended up buying a no-name brand Sonic toothbrush. It’s almost identical to the $250 Phillips Sonicare DiamondClean but cost less than $40. I’ve had it almost a month and I love it. Here’s the link: https://www.amazon.com/gp/product/B07MBNMFSL/",313
26,Works as well as more expensive models if you don’t need all the other features.,4,"If you don’t need all the bells and whistles, this is the toothbrush to get. I’ve had 2 other electric toothbrushes in the past - a Sonicare 4300 and an Oral B Pro 5000. I know it’s a personal preference, but didn’t like the Sonicare at all. The Oral B was great, and the battery lasted about 1.5 yrs before it stopped consistently holding a charge. Honestly though, I never used most of the features of the 5000, including WiFi. This basic 1000 model has the only 2 attributes I really need: a timer and a sensor when you’re brushing too hard. For the price point, I’m sorry that I bought the pricier models first!

Update 12/14/19:

The one thing that I do miss about the more expensive 5000 model is the longer-lasting battery life. I was able to use the Pro 5000 for roughly 10-14 days off of a full charge; with this 1000 model, I have to charge every 5-7 days. If I traveled with this toothbrush, it might be a bigger inconvenience. Overall, I still think this is a great option for the price range.",188
27,"great choice, don't spend more on a toothbrush",5,"I'm very happy with this electric toothbrush and my dental hygienist is quite pleased with the results. During my last cleaning, I had no bleeding from my gums because of the extra cleaning from this Oral-B.

Battery life is amazing- I only have to charge it about once per month.

I only use this once per day but it can easily get behind my wisdom teeth. It can also get into other tight spaces in my mouth and get all the way to the gum line.

My wife has a fancier Oral-B with a bunch of different modes and a wireless feature that tells when you're done: this toothbrush is superior as far as I'm concerned. Her battery only lasts about a week and the wireless features seem to be a gimmick at best. Save your money and get this one.",141
28,Excellent electric toothbrush for a decent price,5,"This is exactly what I was looking for in a powered toothbrush. It was not costly, holds a charge well, and has 30 second increments indicated when using the brush. It does not come with a case or anything but I have not really needed one. I just put it in my travel bag and it does fine.

This set just comes with the brush and the charger. Nothing else is supplied. If you need new heads you will have to purchase those in addition.

Dimensions can be seen in the photos I have attached.

Pros:
*Holds a charge well
*30 second increments
*Soft bristles
*Inexpensive

Cons:
*None

Additional Considerations:
More heads and maybe a case may be worth while if you are doing a bit of traveling.

Overall: 5/5 stars (>=.5 rounds up, <.5 rounds down) => 5 stars

If you have any further questions regarding the product in my review please leave a comment below and I will get back to you as soon as possible.",168
29,Modern,4,"The biggest ADVANTAGE I see - compared to the Philips Sonicare - is this:

Sonicare comes with two encasements to scroll the brush part to the motor. It always gets fungus black yuck into it. THIS ORAL B has none of it. Just a stick!

Push it in and then put to charge (Or just charge without brush). The charger HOLDS the brush! If you move the Philips Sonicare charger, the brush/motor FALLS OUT! Not this one, NOT EVEN if you turn it up side down if you push it in the right direction.

Although, it takes like FOREVER to fully charge it, you may use it after minutes of charging. Yet: YOU CANNOT SEE WHAT LEVEL IT IS CHARGED (like in oral b Genius 8000).

READ THE INSTRUCTIONS:

At first I thought the MOTOR was weak. No: they name it PRESSURE SENSOR to “protect your gums” not too hard to push. Or maybe it’s the “every-30-second-turn-the-power-low NOT TO DISTURB YOU - which they have!! - but to tell you “you-just-brushed-30-seconds!)

Well, negro - black is nice. Smaller than Philips Sonicare and definitely EASIER to put together. One click!

The handle is not all black like the black version of oral b Genius 8000. This is slightly slimmer and shorter than the oral b Genius 8000. (SEE PHOTOS BELOW)

The motor of this oral b PRO 1000 is STRONGER than the oral b Genius 8000 in any function.

I bless you: use ANY BRUSH HEAD ON THIS ONE regardless this has not the “vibrating functions” other highly EXPENSIVE oral b versions like the oral b Genius 8000 has build in. I TRULY SEE IT DOESNT MAKE A HUGE DIFFERENCE!!

Why purchase oral b Genius 8000:

Play with it. Use the app Bluetooth required or SKIP it. It has a travel case not just the ones for ANY oral b, but may be adjusted as CHARGER while you plug in a cable.",321
30,Battery life main issue.,1,"Great at first, but after 4 months of using multiple times a day, the battery requires charging every other day. I only charge the device once the battery blinks red and I charge it for maybe 8 hours so I'm not over charging it and it will still die within a week. Left it on the charger over a weekend while out of town and didn't fix the issue either.",70
31,Can not go back to a normal brush,5,"I was always hesitant to switch over to an electric brush, for reasons unknown, I guess I never thought they were any different than brushing by hand.

I tried not to do it, but I was sometimes a bit of a hard brusher. I heard more and more that that was not good. Then I heard that you should brush away from the gums. That was slow work. I had also often heard that an electric toothbrush was the way to go. So I finally bought one, and I am very glad I did.

My teeth feel cleaner after each brushing, very much so. And one thing I really like is that the brush stops if there is too much pressure being applied to the teeth. So I just lighten up the pressure a little, and the brush gets right back to work.

The electric toothbrush is less cumbersome than a regular toothbrush, so it really gets to the back teeth, getting all the corners of the molars. I read someone saying it was like a jackhammer in the mouth, and I don't feel that way at all. It is not very noisy at all (this coming from someone who is sensitive to noise).

Before with a regular toothbrush, I don't think I often reached the 1-minute mark for my brushing, but now it is easy to reach the 2-minute mark that is recommended.

I highly recommend this electric toothbrush. It gets all the corners and crevices, it is easy, and it is thorough. My teeth are getting even cleaner, and it feels wonderful.",264
32,Garbage: Purposely Engineered To Fail,1,"This piece of junk lasted 13 months. MANY reviewers here have correctly blasted the woefully short battery life of Braun’s electric toothbrushes. This is no accident. They quit charging after a ridiculously short period of time, thus proving their toothbrush line the very antithesis of “green.” Unless you are an experienced solderer and follow the many videos you'll find on youTube there’s no way to outsmart Braun’s grifting company culture, which extends to its other products as well—but I’ll stay focused on their electric toothbrush for now. The large number of how-to-fix videos on youTube reveals just how common and widespread Braun’s con game is. Braun decided to build obsolescence into this item, one guesses thinking we’ll just go out and buy another crappy Braun. Not only is there is no reason a replaceable battery cannot be engineered into this design, but the option they have chosen is actually more costly and complicated to produce in their quest to rip off their customer and to support the expansion of landfills everywhere. I hope buyers will move on to other brands in protest—money talks when consumers walk.",186
33,Worth it.,4,"I don’t normally do reviews but..
This was an impulse buy after being locked in my house for a quarantine period due to contracting the well known virus.. so I purchased this for no reason other than to buy myself something and my girlfriend can’t get mad for me purchasing a toothbrush. Well the box comes with only 1 toothbrush head for it which is as advertised. Cool little charger comes too. The black and white color is not exactly cute but it does feel good in your hand. I’ve never used an electric toothbrush and I’m almost 30 years old so I was super thrown off by the experience. I had the debated to buy the 1500 one but opted for this one because of the price difference. So I immediately go to brush my teeth because after being locked in for 10 days I acted like a child at christmas. I can’t even imagine how powerful the 1500 is because my teeth have never felt so clean in my life. I’ve brushed my teeth 4 times since it was delivered earlier today. It’s not a quiet machine but it’s not obnoxious or anything. It took me a solid bit to figure out why it was pulsing but I realized it was a timer for 30 second intervals. Also pretty cool. I know nothing of the Bluetooth connectivity. You will need to charge it upon arrival. It’s charged some but not fully I was able to brush my teeth but after is was flashing red. Overall I’m super pleased with my random purchase and will report back if it ends up sucking later down the road.",277
34,"I bought this toothbrush in October and it works fine, however",3,"I bought this toothbrush in October and it works fine, however, the metal piece started rusting. I'm incredibly disappointed as this toothbrush suppose to be working for years and not only a few months. Feels like waste of money, I guess I should've went with Sonicare.",46
35,Incorrect battery description,2,"Description of item states polymer battery but it’s not also only handle and brush are made in Germany where is battery made? I charged it for 12hrs but it stopped working in less then one minute?! Then charged it for 24hrs and it worked last night for 2 minutes but when pressed again to go longer battery showed red flash to recharge? So do you have to continuously keep it on charger? Have been using oral b brushes for 15yrs my last one the 1500 lasted 6yrs, was going to return this new one model 1000 but the price of the 1500 is absurd! Even the 1000 is way over priced, started return but will see how it does for a few days, before investing $70 for the 1500!
New review now that I been using it for more then a week. It started working better and for 5 days before it shut itself off and I couldn’t restart it even after waiting a few minutes the red battery light never came on so I left it charging for 24 hours and think that’s what I should have done vs the 12 hrs, today it didn’t stop but red battery light came on for the first time, maybe it gets better with time, I’m going to keep using it and see what happens in these next few days, don’t see much difference over the 1500 model it pulses the same for each quadrant, the 1500 lasted me about 6 years but it was less expensive then the 1000 is now, prices are ridiculously high everywhere for everything!
Not sure what model to replace this one with, it only worked for several days fully charged once, now it’s not working more then 2 days without charging and it’s stopping before 2 minutes and won’t restart when I press button, have to finish brushing with a manual brush and put this 1000 back on charger even when red light isn’t on! Want to stay with oral B as I have been using this brand for so many years but all descriptions of the models available don’t sound so positive and I have experienced a few times the brush part bitting the inner lower part of my lip as mentioned by another review, weird sensation it pulls the skin like a bee sting, I have sensitive gums but want to brush without a timer that shuts it down, I’m old enough to know how long to brush and where as per dentist not per manufacturer
Maybe someone or manufacturer can give me some suggestions, not happy with this 1000 model but don’t want to spend so much for a brush that now won’t last me as long as my previous one.",458
36,Buy this now,5,"It took 5 dentists and thousands of dollars spent, and countless hours wasted, before I finally found a dentist that recommends electric toothbrush. I was always OCD when it comes to flossing and brushing teeth, but I would still get cavities. Never could figure out why. Dentists always just told me, oh it's just genetics, oh you just need to brush better. Then I tried this Oral-B electric toothbrush.

I got this because my dentist recommends the one with round head, says it brushes like the tools they use in the dental office. First time visiting my hygienist after using electric toothbrush, she said ""WOW I can't find anything to clean!"". I've now gone 3+ years now without a single cavity, no tooth ache, no more gum issues, nothing. The only thing I've changed in my routine is I'm using this electric toothbrush instead.

Looking back, it's honestly too sad that none of my prior dentists would even mention electric toothbrush. Now I know why. If more people use electric toothbrush, they would have less cavities to drill, and they wouldn't make as much money because their whole business relies on people having bad teeth. Shame on them I say, and bless to the one dentist (whom I'm still with today) that recommended me this electric toothbrush.

Don't wait, don't debate, just get this and you will get dentist-level clean every day. You will save thousands of dollars and hours upon hours of visiting dental offices. Not to mention less needles. Oh and if you're someone who has had lots of cavity and gum issues, and your dentist has not recommended electric toothbrush once? Dump them, find someone else. I'm serious, this is life changing, I wish more people understands how good electric toothbrush can clean your teeth.

Yes, you will need to buy replacement brush heads, it's added expense for sure. But remember, crowns cost $500-$600 each. Save yourself from getting poked by needles and wasting hours at the dental office. Take control of your life and feel better with a good smile.",344
37,Sorry I made the switch from Sonicare!,3,"I did a little research and the Oral B kept coming up as the better performing electric toothbrush. However for me, I wish that I had bought another Philips Sonicare toothbrush. I find my new Oral B to be flimsy. I'm not brushing any harder then I ever have before and the motor stop feature kicks in frequently. I also find it messy. That is I have a harder time keeping the liquid toothpaste and saliva mud in my mouth. I'm not sure why that is but it is a slight problem for me. I have to rinse and dry the toothbrush every time I brush. Oral B doesn't provide any cap for the brush head while it's charging so it's exposed to whatever is in the air. I'll use up the heads that I've bought and re-evaluate then to make my keep or switch decision. Oh, well, live and learn. All be it, costly and time consuming.",158
38,"Do not buy, black color bleeds!",1,"I bought this toothbrush specifically because I wanted to make it even easier to distinguish between multiple brushes on the counter. Yes, I am aware that I could have gotten the tiny rubber rings to make the brushes 'different' but we are dealing with one of the brush owners being a child and a boy under 10 at that, so the attention to details is by default minimal to non-existent. So I thought: the WHOLE brush in different color will be perfect.

I was very disappointed to see that the black parts bleed the color A LOT - not only does the base look filthy as a result (something I don't need in my bathroom, thank you very much) but it also drips dark grey water in the sink as you brush. The picture shows the base after about 15 mins after brushing, not something that would build slowly over several days.

I find the functionality less than optimal, too, with loud noise and clunky motion. The previous Braun we got from Costco (white) was technically the same series and yet it performs much better.
I would not recommend this product unless you enjoy watching the black drops drip in the sink.",202
